iter	MultiClass
291	0.05310881735
292	0.05288477291
293	0.05268363737
294	0.05247170628
295	0.05222822224
296	0.0519910724
297	0.05165930804
298	0.05143221561
299	0.05104219892
300	0.05095809954
301	0.05065280014
302	0.05045624202
303	0.05036744104
304	0.05010983888
305	0.04990589478
306	0.04966438929
307	0.04944918936
308	0.04934108521
309	0.04915832535
310	0.04898088162
311	0.04883279741
312	0.0486315395
313	0.04834580279
314	0.04819364637
315	0.04787367436
316	0.04765249528
317	0.04749649364
318	0.04736562559
319	0.04718651856
320	0.04703527287
321	0.04689001245
322	0.04682272603
323	0.04665275767
324	0.04639691061
325	0.04622133568
326	0.04603348496
327	0.04592765505
328	0.04578228341
329	0.04559292203
330	0.04552813477
331	0.0453325395
332	0.04515794534
333	0.04496105287
334	0.04482357824
335	0.04476696587
336	0.04455111221
337	0.04446947051
338	0.04434992857
339	0.04418832813
340	0.04404109452
341	0.0438142109
342	0.04364236075
343	0.04355791915
344	0.04346061315
345	0.04323174391
346	0.04306737228
347	0.04300255504
348	0.04281032073
349	0.04263369929
350	0.04255895217
351	0.04231598317
352	0.04218684711
353	0.04203508035
354	0.04190550614
355	0.04168080494
356	0.04154296282
357	0.04137467698
358	0.04123578046
359	0.04111393416
360	0.04093824139
361	0.04087658009
362	0.04076817534
363	0.04063188157
364	0.04050500302
365	0.04042178755
366	0.04026391601
367	0.04010805818
368	0.04001259357
369	0.03995019506
370	0.03975503666
371	0.03969390608
372	0.03953640451
373	0.03939843873
374	0.03920330493
375	0.03907821205
376	0.03899276439
377	0.03882806319
378	0.03872448271
379	0.03860586235
380	0.03845381445
381	0.03839770524
382	0.03828576983
383	0.03817253667
384	0.03807266027
385	0.03800903429
386	0.0378390504
387	0.03769345189
388	0.03758761015
389	0.03749567621
390	0.03732106721
391	0.03726164802
392	0.03700969938
393	0.03697069252
394	0.03685426969
395	0.03675386432
396	0.03668959955
397	0.03655113952
398	0.03643255173
399	0.03636179997
400	0.03623772224
401	0.03598945483
402	0.03586721445
403	0.03577161248
404	0.03568627516
405	0.03553540046
406	0.0353046651
407	0.03518509672
408	0.03513499298
409	0.03505703194
410	0.03491248889
411	0.03478238526
412	0.03469106273
413	0.03458742193
414	0.03447183364
415	0.03431214478
416	0.0342557024
417	0.03423118684
418	0.03411179486
419	0.03399402818
420	0.03394180694
421	0.03385100408
422	0.03376917151
423	0.03363804471
424	0.03355413628
425	0.03352745183
426	0.03343750429
427	0.03337124811
428	0.03326768576
429	0.03317103428
430	0.03307325406
431	0.03291363728
432	0.03279285287
433	0.03272267106
434	0.03269590216
435	0.03259216223
436	0.03245919882
437	0.03241091531
438	0.03231087667
439	0.03221225646
440	0.03217276813
441	0.03208170422
442	0.03200616124
443	0.03196579849
444	0.03186184142
445	0.03175191224
446	0.03164690599
447	0.03156067616
448	0.03145758472
449	0.03130046287
450	0.0312000757
451	0.03107858464
452	0.03098882618
453	0.03091559669
454	0.03082639372
455	0.03076065137
456	0.03069606813
457	0.03058118681
458	0.03047381559
459	0.03038438029
460	0.03029234727
461	0.03013001345
462	0.03006129595
463	0.0299830051
464	0.02989070611
465	0.02983214497
466	0.02977130743
467	0.02972342736
468	0.02964059587
469	0.02959914936
470	0.02951426082
471	0.02947032499
472	0.02933169809
473	0.0292663411
474	0.0291583139
475	0.02905731137
476	0.02899608293
477	0.02892521576
478	0.02885726916
479	0.02872853153
480	0.02864207123
481	0.02855590197
482	0.02850676479
483	0.02846364476
484	0.02839920904
485	0.02829855945
486	0.02821776794
487	0.02813752026
488	0.02807665019
489	0.02801652687
490	0.02797165328
491	0.02782546021
492	0.02773515613
493	0.02764439842
494	0.02756471228
495	0.02748661564
496	0.02739567223
497	0.02735657503
498	0.02730399529
499	0.02725425289
